代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
大阪駅,すべての時間帯,2021年7月第3週,市区町村内,-9.959909060
大阪駅,すべての時間帯,2021年7月第3週,都道府県内,-7.100461226
大阪駅,すべての時間帯,2021年7月第3週,都道府県外,-29.586021345
大阪駅,すべての時間帯,2021年7月第4週,市区町村内,-6.673165314
大阪駅,すべての時間帯,2021年7月第4週,都道府県内,-6.164199263
大阪駅,すべての時間帯,2021年7月第4週,都道府県外,-23.476325127
大阪駅,すべての時間帯,2021年7月第5週,市区町村内,-5.026402402
大阪駅,すべての時間帯,2021年7月第5週,都道府県内,-6.406796532
大阪駅,すべての時間帯,2021年7月第5週,都道府県外,-27.220715256
大阪駅,すべての時間帯,2021年8月第1週,市区町村内,-18.575737436
大阪駅,すべての時間帯,2021年8月第1週,都道府県内,-16.590065273
大阪駅,すべての時間帯,2021年8月第1週,都道府県外,-31.596744570
大阪駅,すべての時間帯,2021年8月第2週,市区町村内,-24.382303448
大阪駅,すべての時間帯,2021年8月第2週,都道府県内,-25.685583823
大阪駅,すべての時間帯,2021年8月第2週,都道府県外,-45.757899745
大阪駅,すべての時間帯,2021年8月第3週,市区町村内,-1.697908524
大阪駅,すべての時間帯,2021年8月第3週,都道府県内,9.555171107
大阪駅,すべての時間帯,2021年8月第3週,都道府県外,-27.877658630
大阪駅,すべての時間帯,2021年8月第4週,市区町村内,-24.512269248
大阪駅,すべての時間帯,2021年8月第4週,都道府県内,-19.575247314
大阪駅,すべての時間帯,2021年8月第4週,都道府県外,-42.261184332
大阪駅,すべての時間帯,2021年9月第1週,市区町村内,-28.843094166
大阪駅,すべての時間帯,2021年9月第1週,都道府県内,-20.524193932
大阪駅,すべての時間帯,2021年9月第1週,都道府県外,-41.531473428
大阪駅,すべての時間帯,2021年9月第2週,市区町村内,-26.814413321
大阪駅,すべての時間帯,2021年9月第2週,都道府県内,-35.256552330
大阪駅,すべての時間帯,2021年9月第2週,都道府県外,-50.193206584
大阪駅,すべての時間帯,2021年9月第3週,市区町村内,-27.655957516
大阪駅,すべての時間帯,2021年9月第3週,都道府県内,-38.369503948
大阪駅,すべての時間帯,2021年9月第3週,都道府県外,-52.568667308
大阪駅,すべての時間帯,2021年9月第4週,市区町村内,-30.042332802
大阪駅,すべての時間帯,2021年9月第4週,都道府県内,-39.300203102
大阪駅,すべての時間帯,2021年9月第4週,都道府県外,-52.514954104
大阪駅,すべての時間帯,2021年9月第5週,市区町村内,-17.859742468
大阪駅,すべての時間帯,2021年9月第5週,都道府県内,-32.483802584
大阪駅,すべての時間帯,2021年9月第5週,都道府県外,-42.758654121
大阪駅,すべての時間帯,2021年10月第1週,市区町村内,-7.905936871
大阪駅,すべての時間帯,2021年10月第1週,都道府県内,-26.534430984
大阪駅,すべての時間帯,2021年10月第1週,都道府県外,-34.966348486
大阪駅,すべての時間帯,2021年10月第2週,市区町村内,-6.391303587
大阪駅,すべての時間帯,2021年10月第2週,都道府県内,-21.621692313
大阪駅,すべての時間帯,2021年10月第2週,都道府県外,-30.296764764
大阪駅,すべての時間帯,2021年10月第3週,市区町村内,-3.405414139
大阪駅,すべての時間帯,2021年10月第3週,都道府県内,-21.187720471
大阪駅,すべての時間帯,2021年10月第3週,都道府県外,-30.995820509
