代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
宝塚駅,すべての時間帯,2021年2月第1週,都道府県内,-23.670266003
宝塚駅,すべての時間帯,2021年2月第1週,都道府県外,11.490881396
宝塚駅,すべての時間帯,2021年2月第2週,市区町村内,-5.992876791
宝塚駅,すべての時間帯,2021年2月第2週,都道府県内,-33.020808469
宝塚駅,すべての時間帯,2021年2月第2週,都道府県外,-18.997998850
宝塚駅,すべての時間帯,2021年2月第3週,市区町村内,-5.886447498
宝塚駅,すべての時間帯,2021年2月第3週,都道府県内,-20.166991149
宝塚駅,すべての時間帯,2021年2月第3週,都道府県外,-24.697811333
宝塚駅,すべての時間帯,2021年2月第4週,市区町村内,-0.641468370
宝塚駅,すべての時間帯,2021年2月第4週,都道府県内,-21.363146868
宝塚駅,すべての時間帯,2021年2月第4週,都道府県外,-16.599148497
宝塚駅,すべての時間帯,2021年3月第1週,市区町村内,-6.814268669
宝塚駅,すべての時間帯,2021年3月第1週,都道府県内,-21.366777087
宝塚駅,すべての時間帯,2021年3月第1週,都道府県外,-19.422695098
宝塚駅,すべての時間帯,2021年3月第2週,市区町村内,-7.578084745
宝塚駅,すべての時間帯,2021年3月第2週,都道府県内,-4.265690266
宝塚駅,すべての時間帯,2021年3月第2週,都道府県外,7.889997716
宝塚駅,すべての時間帯,2021年3月第3週,市区町村内,-9.727155518
宝塚駅,すべての時間帯,2021年3月第3週,都道府県内,-7.158678902
宝塚駅,すべての時間帯,2021年3月第3週,都道府県外,7.512136713
宝塚駅,すべての時間帯,2021年3月第4週,市区町村内,-7.625407628
宝塚駅,すべての時間帯,2021年3月第4週,都道府県内,16.440754966
宝塚駅,すべての時間帯,2021年3月第4週,都道府県外,-0.965671362
宝塚駅,すべての時間帯,2021年4月第1週,市区町村内,-4.776938974
宝塚駅,すべての時間帯,2021年4月第1週,都道府県内,-3.403360853
宝塚駅,すべての時間帯,2021年4月第1週,都道府県外,28.283987819
宝塚駅,すべての時間帯,2021年4月第2週,市区町村内,-4.189080871
宝塚駅,すべての時間帯,2021年4月第2週,都道府県内,-3.115753320
宝塚駅,すべての時間帯,2021年4月第2週,都道府県外,-16.361956772
宝塚駅,すべての時間帯,2021年4月第3週,市区町村内,-4.027449576
宝塚駅,すべての時間帯,2021年4月第3週,都道府県内,-2.627001185
宝塚駅,すべての時間帯,2021年4月第3週,都道府県外,-30.600340177
宝塚駅,すべての時間帯,2021年4月第4週,市区町村内,-2.824677651
宝塚駅,すべての時間帯,2021年4月第4週,都道府県内,-20.582463994
宝塚駅,すべての時間帯,2021年4月第4週,都道府県外,11.685465999
宝塚駅,すべての時間帯,2021年4月第5週,市区町村内,-6.470329677
宝塚駅,すべての時間帯,2021年4月第5週,都道府県内,-23.166227520
宝塚駅,すべての時間帯,2021年4月第5週,都道府県外,-36.470783051
宝塚駅,すべての時間帯,2021年5月第1週,市区町村内,-8.721363933
宝塚駅,すべての時間帯,2021年5月第1週,都道府県内,-12.399546542
宝塚駅,すべての時間帯,2021年5月第1週,都道府県外,-51.892492249
宝塚駅,すべての時間帯,2021年5月第2週,市区町村内,-11.963661090
宝塚駅,すべての時間帯,2021年5月第2週,都道府県内,-17.974933649
宝塚駅,すべての時間帯,2021年5月第2週,都道府県外,-8.911120531
宝塚駅,すべての時間帯,2021年5月第3週,市区町村内,-9.927525190
宝塚駅,すべての時間帯,2021年5月第3週,都道府県内,-14.861083588
宝塚駅,すべての時間帯,2021年5月第3週,都道府県外,-12.999706602
宝塚駅,すべての時間帯,2021年5月第4週,市区町村内,-7.068449927
宝塚駅,すべての時間帯,2021年5月第4週,都道府県内,-2.393577604
宝塚駅,すべての時間帯,2021年5月第4週,都道府県外,9.463517114
宝塚駅,すべての時間帯,2021年6月第1週,市区町村内,-4.192749766
宝塚駅,すべての時間帯,2021年6月第1週,都道府県内,-6.465032433
宝塚駅,すべての時間帯,2021年6月第1週,都道府県外,35.659932060
宝塚駅,すべての時間帯,2021年6月第2週,市区町村内,-9.299080901
宝塚駅,すべての時間帯,2021年6月第2週,都道府県内,-8.579644089
宝塚駅,すべての時間帯,2021年6月第2週,都道府県外,9.159840321
宝塚駅,すべての時間帯,2021年6月第3週,市区町村内,-5.298989932
宝塚駅,すべての時間帯,2021年6月第3週,都道府県内,-10.544684493
宝塚駅,すべての時間帯,2021年6月第3週,都道府県外,0.386075182
宝塚駅,すべての時間帯,2021年6月第4週,市区町村内,-11.800988952
宝塚駅,すべての時間帯,2021年6月第4週,都道府県内,2.402926849
宝塚駅,すべての時間帯,2021年6月第4週,都道府県外,-1.860392130
宝塚駅,すべての時間帯,2021年7月第1週,市区町村内,-8.880624364
宝塚駅,すべての時間帯,2021年7月第1週,都道府県内,-12.404769910
宝塚駅,すべての時間帯,2021年7月第1週,都道府県外,7.755515796
宝塚駅,すべての時間帯,2021年7月第2週,市区町村内,-9.263998547
宝塚駅,すべての時間帯,2021年7月第2週,都道府県内,-8.468679724
宝塚駅,すべての時間帯,2021年7月第2週,都道府県外,22.817691735
宝塚駅,すべての時間帯,2021年7月第3週,市区町村内,-4.283004389
宝塚駅,すべての時間帯,2021年7月第3週,都道府県内,-0.376440399
宝塚駅,すべての時間帯,2021年7月第3週,都道府県外,25.131989341
宝塚駅,すべての時間帯,2021年7月第4週,市区町村内,-10.230268088
宝塚駅,すべての時間帯,2021年7月第4週,都道府県内,-5.129023169
宝塚駅,すべての時間帯,2021年7月第4週,都道府県外,69.080997363
宝塚駅,すべての時間帯,2021年7月第5週,市区町村内,-8.904534321
宝塚駅,すべての時間帯,2021年7月第5週,都道府県内,-2.173139159
宝塚駅,すべての時間帯,2021年7月第5週,都道府県外,40.797105422
宝塚駅,すべての時間帯,2021年8月第1週,市区町村内,-9.311611729
宝塚駅,すべての時間帯,2021年8月第1週,都道府県内,0.411454329
宝塚駅,すべての時間帯,2021年8月第1週,都道府県外,13.450018099
宝塚駅,すべての時間帯,2021年8月第2週,市区町村内,-6.535190908
宝塚駅,すべての時間帯,2021年8月第2週,都道府県内,-23.050843190
宝塚駅,すべての時間帯,2021年8月第2週,都道府県外,33.060674081
宝塚駅,すべての時間帯,2021年8月第3週,市区町村内,-7.007196091
宝塚駅,すべての時間帯,2021年8月第3週,都道府県内,4.615471566
宝塚駅,すべての時間帯,2021年8月第3週,都道府県外,37.394860125
宝塚駅,すべての時間帯,2021年8月第4週,市区町村内,-11.245388955
宝塚駅,すべての時間帯,2021年8月第4週,都道府県内,-7.708592051
宝塚駅,すべての時間帯,2021年8月第4週,都道府県外,21.821616339
宝塚駅,すべての時間帯,2021年9月第1週,市区町村内,-12.010401150
宝塚駅,すべての時間帯,2021年9月第1週,都道府県内,-15.423207706
