mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52350157,28,28102,2020,1,2,0,13680
52350157,28,28102,2020,1,2,1,16180
52350157,28,28102,2020,1,2,2,14669
52350158,28,28102,2020,1,0,0,16579
52350158,28,28102,2020,1,0,1,19299
52350158,28,28102,2020,1,0,2,18085
52350158,28,28102,2020,1,1,0,14269
52350158,28,28102,2020,1,1,1,18845
52350158,28,28102,2020,1,1,2,16846
52350158,28,28102,2020,1,2,0,15014
52350158,28,28102,2020,1,2,1,18992
52350158,28,28102,2020,1,2,2,17245
52350159,28,28102,2020,1,0,0,29953
52350159,28,28102,2020,1,0,1,26976
52350159,28,28102,2020,1,0,2,28610
52350159,28,28102,2020,1,1,0,25033
52350159,28,28102,2020,1,1,1,26508
52350159,28,28102,2020,1,1,2,26642
52350159,28,28102,2020,1,2,0,26620
52350159,28,28102,2020,1,2,1,26659
52350159,28,28102,2020,1,2,2,27277
52350166,28,28102,2020,1,0,0,59
52350166,28,28102,2020,1,0,1,24
52350166,28,28102,2020,1,0,2,35
52350166,28,28102,2020,1,1,0,46
52350166,28,28102,2020,1,1,1,27
52350166,28,28102,2020,1,1,2,35
52350166,28,28102,2020,1,2,0,50
52350166,28,28102,2020,1,2,1,26
52350166,28,28102,2020,1,2,2,35
52350167,28,28102,2020,1,0,0,4765
52350167,28,28102,2020,1,0,1,6116
52350167,28,28102,2020,1,0,2,5503
52350167,28,28102,2020,1,1,0,4574
52350167,28,28102,2020,1,1,1,6143
52350167,28,28102,2020,1,1,2,5176
52350167,28,28102,2020,1,2,0,4636
52350167,28,28102,2020,1,2,1,6134
52350167,28,28102,2020,1,2,2,5282
52350168,28,28102,2020,1,0,0,13234
52350168,28,28102,2020,1,0,1,14746
52350168,28,28102,2020,1,0,2,14003
52350168,28,28102,2020,1,1,0,13984
52350168,28,28102,2020,1,1,1,16082
52350168,28,28102,2020,1,1,2,14922
52350168,28,28102,2020,1,2,0,13742
52350168,28,28102,2020,1,2,1,15651
52350168,28,28102,2020,1,2,2,14625
52350169,28,28102,2020,1,0,0,14009
52350169,28,28102,2020,1,0,1,17575
52350169,28,28102,2020,1,0,2,15805
52350169,28,28102,2020,1,1,0,10880
52350169,28,28102,2020,1,1,1,17679
52350169,28,28102,2020,1,1,2,14405
52350169,28,28102,2020,1,2,0,11889
52350169,28,28102,2020,1,2,1,17645
52350169,28,28102,2020,1,2,2,14857
52350176,28,28102,2020,1,0,0,75
52350176,28,28102,2020,1,0,2,31
52350176,28,28102,2020,1,1,0,22
52350176,28,28102,2020,1,1,2,12
52350176,28,28102,2020,1,2,0,39
52350176,28,28102,2020,1,2,2,18
52350177,28,28102,2020,1,0,0,187
52350177,28,28102,2020,1,0,1,295
52350177,28,28102,2020,1,0,2,238
52350177,28,28102,2020,1,1,0,152
52350177,28,28102,2020,1,1,1,256
52350177,28,28102,2020,1,1,2,191
52350177,28,28102,2020,1,2,0,163
52350177,28,28102,2020,1,2,1,268
52350177,28,28102,2020,1,2,2,206
52350178,28,28102,2020,1,0,0,6299
52350178,28,28102,2020,1,0,1,5234
52350178,28,28102,2020,1,0,2,5522
52350178,28,28102,2020,1,1,0,16728
52350178,28,28102,2020,1,1,1,6471
52350178,28,28102,2020,1,1,2,10156
52350178,28,28102,2020,1,2,0,13363
52350178,28,28102,2020,1,2,1,6072
52350178,28,28102,2020,1,2,2,8661
52350186,28,28102,2020,1,0,0,193
52350186,28,28102,2020,1,0,1,162
52350186,28,28102,2020,1,0,2,174
52350186,28,28102,2020,1,1,0,55
52350186,28,28102,2020,1,1,1,54
52350186,28,28102,2020,1,1,2,57
52350186,28,28102,2020,1,2,0,99
52350186,28,28102,2020,1,2,1,89
52350186,28,28102,2020,1,2,2,95
52350188,28,28102,2020,1,0,0,1873
52350188,28,28102,2020,1,0,1,2251
52350188,28,28102,2020,1,0,2,2031
52350188,28,28102,2020,1,1,0,1861
52350188,28,28102,2020,1,1,1,2177
52350188,28,28102,2020,1,1,2,2003
52350188,28,28102,2020,1,2,0,1865
52350188,28,28102,2020,1,2,1,2201
52350188,28,28102,2020,1,2,2,2012
52350189,28,28102,2020,1,0,0,1546
52350189,28,28102,2020,1,0,1,2301
52350189,28,28102,2020,1,0,2,1967
52350189,28,28102,2020,1,1,0,1186
52350189,28,28102,2020,1,1,1,2222
52350189,28,28102,2020,1,1,2,1744
52350189,28,28102,2020,1,2,0,1302
52350189,28,28102,2020,1,2,1,2248
52350189,28,28102,2020,1,2,2,1816
52350196,28,28102,2020,1,0,0,139
52350196,28,28102,2020,1,0,1,35
52350196,28,28102,2020,1,0,2,48
52350196,28,28102,2020,1,1,0,18
52350196,28,28102,2020,1,1,1,19
52350196,28,28102,2020,1,1,2,15
52350196,28,28102,2020,1,2,0,57
52350196,28,28102,2020,1,2,1,24
52350196,28,28102,2020,1,2,2,26
52350197,28,28102,2020,1,0,0,129
52350197,28,28102,2020,1,0,1,51
52350197,28,28102,2020,1,0,2,80
52350197,28,28102,2020,1,1,0,100
52350197,28,28102,2020,1,1,1,11
52350197,28,28102,2020,1,1,2,50
52350197,28,28102,2020,1,2,0,109
52350197,28,28102,2020,1,2,1,24
52350197,28,28102,2020,1,2,2,60
52350198,28,28102,2020,1,0,0,112
52350198,28,28102,2020,1,0,1,71
52350198,28,28102,2020,1,0,2,92
52350198,28,28102,2020,1,1,0,70
52350198,28,28102,2020,1,1,1,19
52350198,28,28102,2020,1,1,2,53
52350198,28,28102,2020,1,2,0,83
52350198,28,28102,2020,1,2,1,36
52350198,28,28102,2020,1,2,2,65
52350199,28,28102,2020,1,0,0,87
52350199,28,28102,2020,1,0,1,132
52350199,28,28102,2020,1,0,2,110
52350199,28,28102,2020,1,1,0,100
52350199,28,28102,2020,1,1,1,111
52350199,28,28102,2020,1,1,2,102
52350199,28,28102,2020,1,2,0,96
52350199,28,28102,2020,1,2,1,117
52350199,28,28102,2020,1,2,2,104
52351106,28,28102,2020,1,0,0,72
52351106,28,28102,2020,1,0,1,10
52351106,28,28102,2020,1,0,2,33
52351106,28,28102,2020,1,1,0,14
52351106,28,28102,2020,1,2,0,33
52351106,28,28102,2020,1,2,2,16
52351107,28,28102,2020,1,0,0,116
52351107,28,28102,2020,1,0,1,159
52351107,28,28102,2020,1,0,2,153
52351107,28,28102,2020,1,1,0,109
52351107,28,28102,2020,1,1,1,72
52351107,28,28102,2020,1,1,2,98
52351107,28,28102,2020,1,2,0,111
52351107,28,28102,2020,1,2,1,100
52351107,28,28102,2020,1,2,2,116
52351108,28,28102,2020,1,0,0,376
52351108,28,28102,2020,1,0,1,134
52351108,28,28102,2020,1,0,2,239
52351108,28,28102,2020,1,1,0,311
52351108,28,28102,2020,1,1,1,79
52351108,28,28102,2020,1,1,2,176
52351108,28,28102,2020,1,2,0,332
52351108,28,28102,2020,1,2,1,97
52351108,28,28102,2020,1,2,2,196
52351109,28,28102,2020,1,0,0,17
52351109,28,28102,2020,1,0,1,59
52351109,28,28102,2020,1,0,2,43
52351109,28,28102,2020,1,1,0,20
52351109,28,28102,2020,1,1,1,15
52351109,28,28102,2020,1,1,2,17
52351109,28,28102,2020,1,2,0,19
52351109,28,28102,2020,1,2,1,29
52351109,28,28102,2020,1,2,2,25
52351118,28,28102,2020,1,0,0,68
52351118,28,28102,2020,1,0,1,59
52351118,28,28102,2020,1,0,2,63
52351118,28,28102,2020,1,1,0,119
52351118,28,28102,2020,1,1,1,24
52351118,28,28102,2020,1,1,2,58
52351118,28,28102,2020,1,2,0,103
52351118,28,28102,2020,1,2,1,35
52351118,28,28102,2020,1,2,2,60
52351119,28,28102,2020,1,0,0,1107
52351119,28,28102,2020,1,0,1,443
52351119,28,28102,2020,1,0,2,715
52351119,28,28102,2020,1,1,0,505
52351119,28,28102,2020,1,1,1,176
52351119,28,28102,2020,1,1,2,298
52351119,28,28102,2020,1,2,0,699
52351119,28,28102,2020,1,2,1,262
52351119,28,28102,2020,1,2,2,432
52351220,28,28102,2020,1,0,0,27
52351220,28,28102,2020,1,0,2,18
52351220,28,28102,2020,1,1,0,18
52351220,28,28102,2020,1,2,0,21
52351220,28,28102,2020,1,2,2,12
51357173,28,28105,2020,1,0,0,137
51357173,28,28105,2020,1,0,1,16
51357173,28,28105,2020,1,0,2,80
51357173,28,28105,2020,1,1,0,934
51357173,28,28105,2020,1,1,1,99
51357173,28,28105,2020,1,1,2,512
51357173,28,28105,2020,1,2,0,677
51357173,28,28105,2020,1,2,1,73
51357173,28,28105,2020,1,2,2,373
51357174,28,28105,2020,1,0,0,47
51357174,28,28105,2020,1,0,1,16
51357174,28,28105,2020,1,0,2,27
51357174,28,28105,2020,1,1,0,534
51357174,28,28105,2020,1,1,1,32
51357174,28,28105,2020,1,1,2,252
51357174,28,28105,2020,1,2,0,377
51357174,28,28105,2020,1,2,1,27
